gender,language,age,country,account_type
Female,Croatian,58,Philippines,bankcard
Male,Irish Gaelic,51,Argentina,jcb
Male,Papiamento,36,Chile,laser
Female,Tsonga,22,Russia,jcb
Female,Montenegrin,38,France,jcb
Male,Swati,42,Japan,americanexpress
Male,Hungarian,44,Syria,visa-electron
Female,Kashmiri,59,Peru,visa
Female,Thai,49,Nigeria,switch
Male,Croatian,46,Czech Republic,diners-club-enroute
Female,Spanish,37,Sweden,diners-club-enroute
Male,Latvian,44,Philippines,jcb
Male,Gujarati,48,Brazil,jcb
Male,Croatian,54,Slovenia,mastercard
Male,Macedonian,35,Russia,diners-club-carte-blanche
Female,Finnish,27,Philippines,jcb
Male,Georgian,29,France,jcb
Male,Oriya,21,Ecuador,jcb
Male,Bulgarian,31,Ukraine,jcb
Male,Kannada,47,Russia,diners-club-enroute
Female,Gujarati,49,Canada,bankcard
Male,Moldovan,56,China,jcb
Female,Lithuanian,32,Zimbabwe,diners-club-carte-blanche
Female,Malay,35,Philippines,jcb
Female,Sotho,48,Russia,americanexpress
Male,Punjabi,54,Russia,switch
Male,Czech,47,Russia,jcb
Male,Aymara,38,China,bankcard
Male,French,37,Albania,diners-club-us-ca
Male,Italian,43,Belgium,diners-club-us-ca
Male,Quechua,37,Nigeria,maestro
Male,Norwegian,44,France,jcb
Female,Nepali,56,China,americanexpress
Female,Bosnian,29,Ukraine,jcb
Female,Kyrgyz,53,Brazil,jcb
Male,Azeri,31,Peru,visa
Female,Gagauz,25,China,china-unionpay
Female,Polish,40,Portugal,jcb
Female,Portuguese,42,Philippines,jcb
Female,Zulu,49,Mauritius,jcb
Female,Northern Sotho,58,China,jcb
Female,Amharic,49,Portugal,jcb
Male,Guaraní,60,Russia,diners-club-carte-blanche
Male,Papiamento,44,Philippines,mastercard
Male,Nepali,46,Russia,jcb
Female,Latvian,44,France,jcb
Male,Persian,46,China,jcb
Male,Bulgarian,36,China,jcb
Female,Ndebele,56,Bangladesh,jcb
Female,Northern Sotho,41,France,jcb
Male,Swedish,43,Argentina,jcb
Female,Romanian,20,Kenya,jcb
Male,Malay,28,China,maestro
Male,Burmese,57,China,jcb
Female,Albanian,25,Indonesia,jcb
Male,Swati,51,Poland,jcb
Male,West Frisian,52,China,jcb
Male,Maltese,36,Philippines,jcb
Female,Danish,48,Indonesia,switch
Female,Montenegrin,23,Poland,jcb
Male,Tswana,26,Brazil,instapayment
Male,Tamil,33,Guatemala,maestro
Male,English,52,Portugal,instapayment
Male,Indonesian,31,Philippines,bankcard
Male,Portuguese,34,Russia,jcb
Male,Moldovan,43,China,mastercard
Female,Polish,40,Indonesia,mastercard
Female,French,55,China,maestro
Male,Japanese,31,Czech Republic,china-unionpay
Female,Amharic,23,Ukraine,solo
Female,Chinese,31,Brazil,americanexpress
Female,Persian,51,Albania,laser
Female,Arabic,58,Indonesia,jcb
Female,Pashto,23,Costa Rica,diners-club-carte-blanche
Female,Georgian,22,Netherlands,visa-electron
Male,Swedish,58,Philippines,bankcard
Male,Kyrgyz,35,China,jcb
Male,Gujarati,42,Serbia,switch
Female,Greek,30,Myanmar,laser
Male,Bulgarian,40,China,bankcard
Female,Tajik,25,United States,americanexpress
Female,Northern Sotho,55,Zimbabwe,diners-club-international
Female,Nepali,41,Peru,jcb
Female,Tsonga,28,Belarus,maestro
Female,Albanian,31,Estonia,bankcard
Male,Kyrgyz,25,Spain,jcb
Male,Macedonian,24,Indonesia,visa
Female,Nepali,44,Sweden,bankcard
Male,Estonian,56,Czech Republic,jcb
Male,Malay,18,United States,jcb
Female,Northern Sotho,37,Guyana,jcb
Female,Kannada,38,Laos,maestro
Male,Luxembourgish,55,Mexico,jcb
Female,Malayalam,23,Turkmenistan,instapayment
Female,Bosnian,22,Indonesia,jcb
Male,Czech,54,Argentina,jcb
